action,note,action_file_descriptions,owner_type,exists,archived,disabled,created_at,last_pushed_at,description,stars,first_release_tag,first_release_date,latest_release_tag,latest_release_date,fork,action_yml_list,Num_of_files,file_structure,Features_raw,features_cleaned
s4u/setup-maven-action,,"['Complete environment configuration for Maven builds', 'Enable checkout', 'Number of commits to fetch', 'Whether to fetch submodules', 'Relative path under $GITHUB_WORKSPACE to place the repository', 'Whether to configure the token or SSH key with the local git config', 'The branch, tag, or SHA of the repository to clone', 'The repository to checkout if not the repository that triggered the action. For use when building GitHub Apps', 'Token to use for checkout if checking out a repository out of scope for GITHUB_TOKEN', 'SSH key used to fetch the repository. It allows to run authenticated git commands', 'The Java version to set up', 'Java distribution', 'Java JDK compressed file location', 'Enable cache', 'Cache key prefix', 'Cache path', 'Additional item for cache path', 'The Maven version to set up', 'servers definition in json array, e.g.: [{""id"": ""serverId"", ""username"": ""username"", ""password"": ""password""}]', 'mirrors definition in json array, e.g.: [{""id"": ""id"", ""name"": ""name"", ""mirrorOf"": ""mirrorOf"", ""url"": ""url""}]', 'json array with properties, e.g.: [{""propertyName1"": ""propertyValue1""}, {""propertyName2"": ""propertyValue2""}]', 'add https://oss.sonatype.org/content/repositories/snapshots to repository list - true or false', 'proxies definition in json array, e.g.: [{""id"": ""http-proxy"", ""active"": ""true"", ""protocol"": ""http"", ""host"": ""host"", ""port"": ""port"", ""nonProxyHosts"": ""host1|host2""}]', 'repository settings definition in json array, e.g.: [ { ""id"": ""repoId"",""name"": ""repoName"",""url"": ""url"",""snapshots"": { ""enabled"": true } } ]', 'plugin repository settings definition in json array, e.g.: [{""id"":""repoId"",""name"":""repoName"",""url"":""url"",""snapshots"":{""enabled"":true}}]', 'add to settings.xml servers server-id: github; username=$GITHUB_ACTOR and password=$GITHUB_TOKEN', 'override default path to settings.xml which is $HOME/.m2/settings.xml']",Organization,True,False,False,2021-08-28,2026-04-20,Complete environment configuration for Maven builds,71.0,v1.0.0,2021-08-28,v1.20.0,2026-03-31,False,"[{'name': 'Setup Maven Action', 'description': 'Complete environment configuration for Maven builds', 'branding': {'icon': 'settings', 'color': 'green'}, 'inputs': {'checkout-enabled': {'description': 'Enable checkout', 'default': 'true', 'required': False}, 'checkout-fetch-depth': {'description': 'Number of commits to fetch', 'required': False}, 'checkout-submodules': {'description': 'Whether to fetch submodules', 'required': False}, 'checkout-path': {'description': 'Relative path under $GITHUB_WORKSPACE to place the repository', 'required': False}, 'checkout-persist-credentials': {'description': 'Whether to configure the token or SSH key with the local git config', 'default': 'false', 'required': False}, 'checkout-ref': {'description': 'The branch, tag, or SHA of the repository to clone', 'required': False}, 'checkout-repository': {'description': 'The repository to checkout if not the repository that triggered the action. For use when building GitHub Apps', 'required': False, 'default': '${{ github.repository }}'}, 'checkout-token': {'description': 'Token to use for checkout if checking out a repository out of scope for GITHUB_TOKEN', 'required': False, 'default': '${{ github.token }}'}, 'checkout-ssh-key': {'description': 'SSH key used to fetch the repository. It allows to run authenticated git commands', 'required': False}, 'java-version': {'description': 'The Java version to set up', 'default': '17', 'required': True}, 'java-distribution': {'description': 'Java distribution', 'default': 'zulu', 'required': False}, 'java-jdkFile': {'description': 'Java JDK compressed file location', 'required': False}, 'cache-enabled': {'description': 'Enable cache', 'default': 'true', 'required': False}, 'cache-prefix': {'description': 'Cache key prefix', 'required': False}, 'cache-path': {'description': 'Cache path', 'default': '~/.m2/repository', 'required': False}, 'cache-path-add': {'description': 'Additional item for cache path', 'required': False}, 'maven-version': {'description': 'The Maven version to set up', 'default': '3.9.14', 'required': False}, 'settings-servers': {'description': 'servers definition in json array, e.g.: [{""id"": ""serverId"", ""username"": ""username"", ""password"": ""password""}]', 'required': False}, 'settings-mirrors': {'description': 'mirrors definition in json array, e.g.: [{""id"": ""id"", ""name"": ""name"", ""mirrorOf"": ""mirrorOf"", ""url"": ""url""}]', 'required': False}, 'settings-properties': {'description': 'json array with properties, e.g.: [{""propertyName1"": ""propertyValue1""}, {""propertyName2"": ""propertyValue2""}]', 'required': False}, 'settings-sonatypeSnapshots': {'description': 'add https://oss.sonatype.org/content/repositories/snapshots to repository list - true or false', 'required': False}, 'settings-proxies': {'description': 'proxies definition in json array, e.g.: [{""id"": ""http-proxy"", ""active"": ""true"", ""protocol"": ""http"", ""host"": ""host"", ""port"": ""port"", ""nonProxyHosts"": ""host1|host2""}]', 'required': False}, 'settings-repositories': {'description': 'repository settings definition in json array, e.g.: [ { ""id"": ""repoId"",""name"": ""repoName"",""url"": ""url"",""snapshots"": { ""enabled"": true } } ]', 'required': False}, 'settings-pluginRepositories': {'description': 'plugin repository settings definition in json array, e.g.: [{""id"":""repoId"",""name"":""repoName"",""url"":""url"",""snapshots"":{""enabled"":true}}]', 'required': False}, 'settings-githubServer': {'description': 'add to settings.xml servers server-id: github; username=$GITHUB_ACTOR and password=$GITHUB_TOKEN', 'default': 'true', 'required': False}, 'settings-path': {'description': 'override default path to settings.xml which is $HOME/.m2/settings.xml', 'required': False}}, 'runs': {'using': 'composite', 'steps': [{'uses': 'actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd', 'if': ""inputs.checkout-enabled == 'true'"", 'with': {'fetch-depth': '${{ inputs.checkout-fetch-depth }}', 'submodules': '${{ inputs.checkout-submodules }}', 'path': '${{ inputs.checkout-path }}', 'persist-credentials': '${{ inputs.checkout-persist-credentials }}', 'ref': '${{ inputs.checkout-ref }}', 'repository': '${{ inputs.checkout-repository }}', 'token': '${{ inputs.checkout-token }}', 'ssh-key': '${{ inputs.checkout-ssh-key }}'}}, {'uses': 'actions/setup-java@be666c2fcd27ec809703dec50e508c2fdc7f6654', 'with': {'overwrite-settings': False, 'java-version': '${{ inputs.java-version }}', 'distribution': '${{ inputs.java-distribution }}', 'jdkFile': '${{ inputs.java-jdkFile }}'}}, {'uses': 'actions/cache@27d5ce7f107fe9357f9df03efb73ab90386fccae', 'if': ""inputs.cache-enabled == 'true'"", 'with': {'path': '${{ inputs.cache-path }}\n${{ inputs.cache-path-add }}\n', 'key': ""${{ inputs.cache-prefix }}${{ runner.os }}-jdk${{ inputs.java-version }}-${{ inputs.java-distribution }}-maven${{ inputs.maven-version }}-${{ hashFiles('**/pom.xml') }}"", 'restore-keys': '${{ inputs.cache-prefix }}${{ runner.os }}-jdk${{ inputs.java-version }}-${{ inputs.java-distribution }}-maven${{ inputs.maven-version }}-'}}, {'name': 'Installed Maven version', 'run': 'echo ""version=$(mvn -q -v)"" >> $GITHUB_OUTPUT', 'shell': 'bash', 'id': 'current-maven'}, {'uses': 'stCarolas/setup-maven@12eb41b233df95d49b0c11fc1b5bc8312e5d4ce0', 'if': 'inputs.maven-version != steps.current-maven.outputs.version', 'with': {'maven-version': '${{ inputs.maven-version }}'}}, {'uses': 's4u/maven-settings-action@894661b3ddae382f1ae8edbeab60987e08cf0788', 'with': {'servers': '${{ inputs.settings-servers }}', 'mirrors': '${{ inputs.settings-mirrors }}', 'properties': '${{ inputs.settings-properties }}', 'sonatypeSnapshots': '${{ inputs.settings-sonatypeSnapshots }}', 'proxies': '${{ inputs.settings-proxies }}', 'repositories': '${{ inputs.settings-repositories }}', 'pluginRepositories': '${{ inputs.settings-pluginRepositories }}', 'githubServer': '${{ inputs.settings-githubServer }}', 'path': '${{ inputs.settings-path }}'}}]}}]",,,"['\n    ""Environment Configuration"",\n    ""Checkout Enablement"",\n    ""Commit Fetching"",\n    ""Submodule Fetching"",\n    ""Repository Path Configuration"",\n    ""Token/SSH Key Configuration"",\n    ""Repository Branch/Tag/SHA Configuration"",\n    ""Repository Checkout"",\n    ""Token-Based Checkout"",\n    ""SSH Key-Based Checkout"",\n    ""Java Version Setup"",\n    ""Java Distribution Setup"",\n    ""Java JDK File Location"",\n    ""Cache Enablement"",\n    ""Cache Key Prefix Configuration"",\n    ""Cache Path Configuration"",\n    ""Additional Cache Path Item"",\n    ""Maven Version Setup"",\n    ""Server Definition"",\n    ""Mirror Definition"",\n    ""Properties Definition"",\n    ""Snapshot Repository Addition"",\n    ""Proxy Definition"",\n    ""Repository Settings Definition"",\n    ""Plugin Repository Settings Definition"",\n    ""Settings.xml Server Configuration"",\n    ""Settings.xml Path Override""\n']",['environment configuration checkout enablement commit fetching submodule fetching repository path configuration tokenssh key configuration repository branchtagsha configuration repository checkout tokenbased checkout ssh keybased checkout java version setup java distribution setup java jdk file location cache enablement cache key pullrequestefix configuration cache path configuration additional cache path item maven version setup server definition mirror definition pullrequestoperties definition snapshot repository addition pullrequestoxy definition repository setting definition plugin repository setting definition settingsxml server configuration settingsxml path override']
samuelmeuli/action-electron-builder,,"['GitHub Action for building and releasing Electron apps', 'GitHub authentication token', 'Base64-encoded code signing certificate for macOS', 'Password for decrypting `mac_certs`', 'Whether the app should be released after a successful build', 'Base64-encoded code signing certificate for Windows', 'Password for decrypting `windows_certs`', 'Directory where NPM/Yarn commands should be run', 'Name of the optional NPM build script which is executed before `electron-builder`', 'Whether the action should execute the NPM build script before running `electron-builder`', 'Whether to run `electron-builder` using the Vue CLI plugin instead of calling the command directly', 'Other arguments to pass to the `electron-builder` command, e.g. configuration overrides', 'Maximum number of attempts for completing the build and release step', 'Directory where `electron-builder` commands should be run']",User,True,True,False,2019-11-14,2024-05-26,:electron: GitHub Action for building and releasing Electron apps,719.0,v0.1.0,2019-11-14,v1.6.0,2020-06-18,False,"[{'name': 'Electron Builder Action', 'author': 'Samuel Meuli', 'description': 'GitHub Action for building and releasing Electron apps', 'inputs': {'github_token': {'description': 'GitHub authentication token', 'required': True}, 'mac_certs': {'description': 'Base64-encoded code signing certificate for macOS', 'required': False}, 'mac_certs_password': {'description': 'Password for decrypting `mac_certs`', 'required': False}, 'release': {'description': 'Whether the app should be released after a successful build', 'required': False, 'default': False}, 'windows_certs': {'description': 'Base64-encoded code signing certificate for Windows', 'required': False}, 'windows_certs_password': {'description': 'Password for decrypting `windows_certs`', 'required': False}, 'package_root': {'description': 'Directory where NPM/Yarn commands should be run', 'required': False, 'default': '.'}, 'build_script_name': {'description': 'Name of the optional NPM build script which is executed before `electron-builder`', 'required': False, 'default': 'build'}, 'skip_build': {'description': 'Whether the action should execute the NPM build script before running `electron-builder`', 'required': False, 'default': False}, 'use_vue_cli': {'description': 'Whether to run `electron-builder` using the Vue CLI plugin instead of calling the command directly', 'required': False, 'default': False}, 'args': {'description': 'Other arguments to pass to the `electron-builder` command, e.g. configuration overrides', 'required': False, 'default': ''}, 'max_attempts': {'description': 'Maximum number of attempts for completing the build and release step', 'required': False, 'default': '1'}, 'app_root': {'description': 'Directory where `electron-builder` commands should be run', 'required': False}}, 'runs': {'using': 'node12', 'main': 'index.js'}, 'branding': {'icon': 'upload-cloud', 'color': 'blue'}}]",,,"['\n    ""Building"",\n    ""Releasing"",\n    ""GitHub Authentication"",\n    ""Code Signing"",\n    ""Decryption"",\n    ""Automated Release"",\n    ""NPM/Yarn Command Execution"",\n    ""Custom NPM Build Script Execution"",\n    ""Vue CLI Plugin Support"",\n    ""Custom Configuration Overrides"",\n    ""Retry Mechanism"",\n    ""Directory Management""\n']",['building releasing github authentication code signing decryption automated release npmyarn command execution custom npm build script execution vue cli plugin support custom configuration override retry mechanism directory management']
samuelmeuli/action-maven-publish,,"['GitHub Action for automatically publishing Maven packages', 'GPG private key for signing the published artifacts', 'Passphrase for the GPG key', 'Username (not email!) for your Nexus repository manager account', 'Password for your Nexus account', ""Nexus server ID as specified in your project's `nexus-staging-maven-plugin` and `distributionManagement` configurations"", 'Directory of the Maven project which should be deployed', 'Maven goals and build phases to execute', 'Additional arguments to pass to the Maven command', 'Active Maven profiles']",User,True,True,False,2019-10-25,2021-01-12,📦 GitHub Action for automatically publishing Maven packages,100.0,v0.1.0,2019-11-28,v1.4.0,2020-04-04,False,"[{'name': 'action-maven-publish', 'author': 'Samuel Meuli', 'description': 'GitHub Action for automatically publishing Maven packages', 'inputs': {'gpg_private_key': {'description': 'GPG private key for signing the published artifacts', 'required': False}, 'gpg_passphrase': {'description': 'Passphrase for the GPG key', 'required': False}, 'nexus_username': {'description': 'Username (not email!) for your Nexus repository manager account', 'required': True}, 'nexus_password': {'description': 'Password for your Nexus account', 'required': True}, 'server_id': {'description': ""Nexus server ID as specified in your project's `nexus-staging-maven-plugin` and `distributionManagement` configurations"", 'required': False, 'default': 'ossrh'}, 'directory': {'description': 'Directory of the Maven project which should be deployed', 'required': False}, 'maven_goals_phases': {'description': 'Maven goals and build phases to execute', 'required': False, 'default': 'clean deploy'}, 'maven_args': {'description': 'Additional arguments to pass to the Maven command', 'required': False, 'default': ''}, 'maven_profiles': {'description': 'Active Maven profiles', 'required': False, 'default': 'deploy'}}, 'runs': {'using': 'node12', 'main': './index.js'}, 'branding': {'icon': 'upload-cloud', 'color': 'orange'}}]",,,"['\n    ""Automated publishing of Maven packages"",\n    ""GPG private key signing"",\n    ""GPG key passphrase management"",\n    ""Nexus repository manager account authentication"",\n    ""Nexus account password management"",\n    ""Nexus server ID configuration"",\n    ""Maven project directory management"",\n    ""Maven goal and build phase execution"",\n    ""Maven command argument passing"",\n    ""Maven profile management""\n']",['automated publishing maven package gpg pullrequestivate key signing gpg key passphrase management nexus repository manager account authentication nexus account password management nexus server id configuration maven pullrequestoject directory management maven goal build phase execution maven command argument passing maven pullrequestofile management']
satackey/action-docker-layer-caching,,"['Cache images created between main run and post run', 'An explicit key for restoring and saving the cache', 'An ordered list of keys to use for restoring the cache if no cache hit occurred for key', 'The number of concurrency when restoring and saving layers', 'Skip saving layers in the post step']",User,True,False,False,2020-06-06,2023-04-30,[CAUTION] This repository is not actively maintained. / Enable Docker layer caching in your GitHub Actions workflow.,424.0,v0.0.1,2020-06-14,v0.0.11,2020-12-14,False,"[{'name': 'Docker Layer Caching', 'description': 'Cache images created between main run and post run', 'branding': {'icon': 'layers', 'color': 'blue'}, 'inputs': {'key': {'description': 'An explicit key for restoring and saving the cache', 'required': True, 'default': 'docker-layer-caching-${{ github.workflow }}-{hash}'}, 'restore-keys': {'description': 'An ordered list of keys to use for restoring the cache if no cache hit occurred for key', 'required': False, 'default': 'docker-layer-caching-${{ github.workflow }}-'}, 'concurrency': {'description': 'The number of concurrency when restoring and saving layers', 'required': True, 'default': '4'}, 'skip-save': {'description': 'Skip saving layers in the post step', 'required': False, 'default': 'false'}}, 'runs': {'using': 'node12', 'main': 'main.ts', 'post': 'post.ts'}}]",,,"['\n    ""Cache Management"",\n    ""Cache Key Management"",\n    ""Cache Restoration"",\n    ""Concurrency Control"",\n    ""Layer Saving""\n']",['cache management cache key management cache restoration concurrency control layer saving']
sbrunner/backport-action,,"['Backport all kind of pull request by adding a label, with support of cross-project backport.', 'The GitHub token to use.']",Organization,True,True,False,2019-12-19,2025-06-18,GitHub Action to backport pull requests,3.0,v1.0.0,2020-06-18,v2.1.0,2023-02-20,True,"[{'name': 'Backport all Pull request', 'description': 'Backport all kind of pull request by adding a label, with support of cross-project backport.', 'branding': {'icon': 'corner-left-down', 'color': 'blue'}, 'inputs': {'token': {'default': '${{ github.token }}', 'description': 'The GitHub token to use.'}}, 'runs': {'using': 'docker', 'image': 'Dockerfile'}}]",,,"['\n    ""backport_pull_requests"",\n    ""add_labels"",\n    ""cross_project_backport"",\n    ""github_token_support""\n']",['backportpullrequests addlabels crosspullrequestojectbackport githubtokensupport']
seanmiddleditch/gha-setup-ninja,,"['Installs ninja and adds it to the path', 'Version of ninja-build to install', 'Override default platform with one of [win, mac, linux, winarm64, linux-aarch64]', 'Destination directory, will be added to PATH', 'Proxy server']",User,True,True,False,2019-09-22,2025-05-13,GitHub Action to install the ninja build tool to PATH,47.0,v1,2019-09-22,v6,2025-02-01,False,"[{'name': 'Install ninja-build tool', 'description': 'Installs ninja and adds it to the path', 'branding': {'icon': 'terminal', 'color': 'white'}, 'inputs': {'version': {'description': 'Version of ninja-build to install', 'default': '1.12.1', 'required': True}, 'platform': {'description': 'Override default platform with one of [win, mac, linux, winarm64, linux-aarch64]', 'required': False}, 'destination': {'description': 'Destination directory, will be added to PATH', 'default': 'ninja-build', 'required': False}, 'http_proxy': {'description': 'Proxy server', 'required': False}}, 'runs': {'using': 'node20', 'main': 'dist/index.js'}}]",,,"['\n    ""Installation"",\n    ""Version Management"",\n    ""Platform Customization"",\n    ""Directory Configuration"",\n    ""Proxy Configuration""\n']",['installation version management platform customization directory configuration pullrequestoxy configuration']
seanmiddleditch/gha-setup-vsdevenv,,"['Sets VS dev environment variables and PATH via devenv (like vcvarsall) for using msbuild, cl.exe, link.exe, etc.', 'Name or path to vswhere.exr', 'Target build architecture', 'Host architecture (x86, x86_amd64, or amd64)', 'Overrides the default WinSDK version', 'Overrides the default toolset version', 'List of components required in the selected VS installation (semi-colon separated)', 'VS installation path']",User,True,True,False,2019-09-22,2025-05-15,GitHub Action to setup the VS dev environment for the job,30.0,v1,2019-09-22,v5,2025-03-06,False,"[{'name': 'Setup VS Dev Environment', 'description': 'Sets VS dev environment variables and PATH via devenv (like vcvarsall) for using msbuild, cl.exe, link.exe, etc.', 'branding': {'icon': 'code', 'color': 'purple'}, 'inputs': {'vswhere': {'description': 'Name or path to vswhere.exr', 'default': 'vswhere.exe'}, 'arch': {'description': 'Target build architecture', 'default': 'amd64'}, 'host_arch': {'description': 'Host architecture (x86, x86_amd64, or amd64)', 'default': ''}, 'winsdk': {'description': 'Overrides the default WinSDK version', 'default': ''}, 'toolset_version': {'description': 'Overrides the default toolset version', 'default': ''}, 'components': {'description': 'List of components required in the selected VS installation (semi-colon separated)', 'default': 'Microsoft.VisualStudio.Component.VC.Tools.x86.x64'}}, 'outputs': {'install_path': {'description': 'VS installation path'}}, 'runs': {'using': 'node20', 'main': 'dist/index.js'}}]",,,"['\n    ""sets_devenv_variables""', '\n    ""supports_msbuild""', '\n    ""supports_cl_exe""', '\n    ""supports_link_exe""', '\n    ""configures_vswhere_path""', '\n    ""specifies_target_build_architecture""', '\n    ""specifies_host_architecture""', '\n    ""overrides_winsdk_version""', '\n    ""overrides_toolset_version""', '\n    ""installs_required_components""', '\n    ""configures_vs_installation_path""\n']","['setsdevenvvariables', 'supportsmsbuild', 'supportsclexe', 'supportslinkexe', 'configuresvswherepath', 'specifiestargetbuildarchitecture', 'specifieshostarchitecture', 'overrideswinsdkversion', 'overridestoolsetversion', 'installsrequiredcomponents', 'configuresvsinstallationpath']"
shalzz/zola-deploy-action,,['Build and deploy a Zola site to GitHub Pages'],User,True,False,False,2019-01-13,2026-01-29,Github action for building a Zola site and deploying to Github Pages,292.0,v0.5.0,2019-03-26,v0.22.1,2026-01-29,False,"[{'name': 'Zola Deploy to Pages', 'description': 'Build and deploy a Zola site to GitHub Pages', 'author': 'Shaleen Jain', 'runs': {'using': 'docker', 'image': 'Dockerfile'}, 'branding': {'icon': 'zap', 'color': 'green'}}]",,,"['static site generation', 'deployment to GitHub Pages', 'support for Zola sites', 'building of websites']","['static site generation', 'deployment github page', 'support zola site', 'building website']"
shanegenschaw/pull-request-comment-trigger,,"['Look for a ""trigger word"" in a pull-request description or comment, so that later steps can know whether or not to run.', 'If set, the specified emoji ""reaction"" is put on the comment to indicate that the trigger was detected. For example, ""rocket"".', 'The string to look for in pull-request descriptions and comments. For example ""#build/android""', ""If 'true', the trigger must match the start of the comment."", 'If \'true\', the trigger can have arguments. Can be passed via ""**"".', ""the string 'true' if the trigger was found, otherwise the string 'false'"", 'The comment body.']",User,True,False,False,2023-03-21,2026-05-16,"A github action for detecting a ""trigger"" in a pull request description or comment",13.0,v2.0.0,2023-03-21,v3.0.0,2024-08-10,True,"[{'name': 'Pull Request Comment Trigger fork', 'description': 'Look for a ""trigger word"" in a pull-request description or comment, so that later steps can know whether or not to run.', 'inputs': {'reaction': {'description': 'If set, the specified emoji ""reaction"" is put on the comment to indicate that the trigger was detected. For example, ""rocket"".', 'required': False, 'default': ''}, 'trigger': {'description': 'The string to look for in pull-request descriptions and comments. For example ""#build/android""', 'required': True}, 'prefix_only': {'description': ""If 'true', the trigger must match the start of the comment."", 'required': False, 'default': 'false'}, 'allow_arguments': {'description': 'If \'true\', the trigger can have arguments. Can be passed via ""**"".', 'required': False, 'default': 'false'}}, 'outputs': {'triggered': {'description': ""the string 'true' if the trigger was found, otherwise the string 'false'""}, 'comment_body': {'description': 'The comment body.'}}, 'runs': {'using': 'node20', 'main': 'dist/index.js'}, 'branding': {'icon': 'check-circle', 'color': 'red'}}]",,,"['\n    ""Trigger Word Detection"",\n    ""Emoji Reaction"",\n    ""Trigger String"",\n    ""Match Start of Comment"",\n    ""Trigger Arguments"",\n    ""Trigger Found Indicator"",\n    ""Comment Body""\n']",['trigger word detection emoji reaction trigger string match start comment trigger argument trigger found indicator comment body']
shawnbot/action-status,releases error: malformed node or string: nan tags only (no formal releases),[],User,True,False,False,2019-02-05,2019-02-05,Easily create check statuses in GitHub Actions,3.0,v0.1.0,,v0.1.1,,False,[],,,[''],['']
shimataro/ssh-key-action,,"['Composite action (cache NPM)', 'Install SSH key in ~/.ssh', 'SSH private key', 'SSH key file name (default: id_rsa)', 'public keys of SSH servers', 'SSH config', 'replace / ignore / fail']",User,True,False,False,2019-09-18,2026-03-25,GitHub Action that installs SSH key to .ssh,609.0,v1.0.0,2019-09-18,v2.8.1,2026-03-22,False,"[{'name': 'Cache NPM', 'description': 'Composite action (cache NPM)', 'runs': {'using': 'composite', 'steps': [{'name': 'Get NPM cache directory', 'run': 'echo ""NPM_CACHE_DIRECTORY=$(npm config get cache)"" >> ${{ github.env }}', 'shell': 'pwsh'}, {'name': 'Get Node.js version', 'run': 'echo ""NODEJS_VERSION=$(node -v)"" >> ${{ github.env }}', 'shell': 'pwsh'}, {'name': 'Cache NPM modules', 'uses': 'actions/cache@v3', 'with': {'path': '${{ env.NPM_CACHE_DIRECTORY }}', 'key': ""npm-${{ runner.os }}-${{ runner.arch }}-${{ env.NODEJS_VERSION }}-${{ hashFiles('package-lock.json') }}"", 'restore-keys': 'npm-${{ runner.os }}-${{ runner.arch }}-${{ env.NODEJS_VERSION }}-\nnpm-${{ runner.os }}-${{ runner.arch }}\n'}}]}}, {'name': 'Install SSH Key', 'description': 'Install SSH key in ~/.ssh', 'author': 'shimataro', 'branding': {'icon': 'terminal', 'color': 'gray-dark'}, 'inputs': {'key': {'description': 'SSH private key', 'required': True}, 'name': {'description': 'SSH key file name (default: id_rsa)', 'required': False, 'default': 'id_rsa'}, 'known_hosts': {'description': 'public keys of SSH servers', 'required': True, 'default': ''}, 'config': {'description': 'SSH config', 'required': False, 'default': ''}, 'if_key_exists': {'description': 'replace / ignore / fail', 'required': False, 'default': 'fail'}}, 'runs': {'using': 'node24', 'main': './dist/main.js', 'post': './dist/post.js'}}]",,,"['\n    ""Composite action"",\n    ""Install SSH key"",\n    ""SSH private key management"",\n    ""SSH key file name configuration"",\n    ""Public key management of SSH servers"",\n    ""SSH configuration management"",\n    ""Error handling options (replace', 'ignore', 'fail)""\n']","['composite action install ssh key ssh pullrequestivate key management ssh key file name configuration public key management ssh server ssh configuration management error handling option replace', 'ignore', 'fail']"
shioyang/check-pr-labels-on-push-action,,"['This action check if given ALL labels have be applied to the PR when pushed.', 'The repository token, i.e. secrets.GITHUB_TOKEN', 'The array of label name, e.g. \'[""label-1"", ""label-2""]\'', 'The result if given ALL labels have be applied to the PR']",User,True,False,False,2020-05-29,2024-04-04,Check the PR labels contain given labels,17.0,v1.0.0,2020-05-29,v1.0.12,2024-03-25,False,"[{'name': 'Check PR Labels on Push', 'description': 'This action check if given ALL labels have be applied to the PR when pushed.', 'inputs': {'github-token': {'description': 'The repository token, i.e. secrets.GITHUB_TOKEN', 'required': True}, 'labels': {'description': 'The array of label name, e.g. \'[""label-1"", ""label-2""]\'', 'required': True}}, 'outputs': {'result': {'description': 'The result if given ALL labels have be applied to the PR'}}, 'runs': {'using': 'node20', 'main': 'dist/index.js'}, 'branding': {'icon': 'check-circle', 'color': 'green'}}]",,,"['\n    ""Label Verification"",\n    ""Repository Token Management"",\n    ""Label Array Processing"",\n    ""Result Output""\n']",['label verification repository token management label array pullrequestocessing result output']
shivammathur/setup-php,,"['GitHub Action for PHP', 'Setup PHP version.', 'Setup PHP version from a file.', 'Setup PHP extensions.', 'Set base ini file.', 'Add values to php.ini.', 'Setup code coverage driver.', 'Setup popular tools globally.', 'GitHub token to use for authentication.', 'PHP version in semver format']",User,True,False,False,2019-09-05,2026-05-18,"GitHub action to set up PHP with extensions, php.ini configuration, coverage drivers, and various tools.",3221.0,1.0.0,2019-09-06,2.37.0,2026-03-15,False,"[{'name': 'Setup PHP Action', 'author': 'shivammathur', 'description': 'GitHub Action for PHP', 'branding': {'color': 'purple', 'icon': 'play-circle'}, 'inputs': {'php-version': {'description': 'Setup PHP version.', 'required': False}, 'php-version-file': {'description': 'Setup PHP version from a file.', 'required': False}, 'extensions': {'description': 'Setup PHP extensions.', 'required': False}, 'ini-file': {'description': 'Set base ini file.', 'required': False, 'default': 'production'}, 'ini-values': {'description': 'Add values to php.ini.', 'required': False}, 'coverage': {'description': 'Setup code coverage driver.', 'required': False}, 'tools': {'description': 'Setup popular tools globally.', 'required': False}, 'github-token': {'description': 'GitHub token to use for authentication.', 'default': '${{ github.token }}'}}, 'outputs': {'php-version': {'description': 'PHP version in semver format'}}, 'runs': {'using': 'node24', 'main': 'dist/index.js'}}]",,,"['\n    ""PHP version setup"",\n    ""PHP version setup from file"",\n    ""PHP extensions setup"",\n    ""Base ini file setup"",\n    ""php.ini value addition"",\n    ""Code coverage driver setup"",\n    ""Global tool setup"",\n    ""GitHub authentication"",\n    ""PHP version management""\n']",['php version setup php version setup file php extension setup base ini file setup phpini value addition code coverage driver setup global tool setup github authentication php version management']
shrink/actions-docker-extract,,"['Extract file(s) from a Docker Image', 'Docker Image to extract files from', 'Path (from root) to a file or directory within Image', 'Destination path for the extracted files', 'The shell to use for extraction (default: /bin/bash)', 'Destination of extracted file(s)']",User,True,False,False,2020-08-29,2026-03-26,:octocat: Extract file(s) from a Docker Image,18.0,v1,2020-08-29,v4,2026-03-26,False,"[{'name': 'Docker Extract', 'description': 'Extract file(s) from a Docker Image', 'author': 'Samuel Ryan <sam@samryan.co.uk>', 'inputs': {'image': {'description': 'Docker Image to extract files from', 'required': True}, 'path': {'description': 'Path (from root) to a file or directory within Image', 'required': True}, 'destination': {'description': 'Destination path for the extracted files', 'required': False}, 'shell': {'description': 'The shell to use for extraction (default: /bin/bash)', 'required': False, 'default': '/bin/bash'}}, 'outputs': {'destination': {'description': 'Destination of extracted file(s)'}}, 'runs': {'using': 'node24', 'main': 'dist/index.js'}, 'branding': {'icon': 'scissors', 'color': 'blue'}}]",,,"['\n    ""File Extraction"",\n    ""Docker Image Support"",\n    ""File Path Specification"",\n    ""Custom Destination Path"",\n    ""Shell Selection"",\n    ""File Output Destination""\n']",['file extraction docker image support file path specification custom destination path shell selection file output destination']
signcl/docsearch-scraper-action,,['Algolia DocSearch Scraper in Docker for GitHub Actions'],Organization,True,False,False,2021-07-05,2023-08-29,Algolia DocSearch Scraper in Docker for GitHub Actions,17.0,v1.0.1,2021-07-06,v1.0.1,2021-07-06,False,"[{'name': 'DocSearch Scraper Action', 'description': 'Algolia DocSearch Scraper in Docker for GitHub Actions', 'runs': {'using': 'docker', 'image': 'Dockerfile'}, 'branding': {'icon': 'search', 'color': 'purple'}}]",,,"['web_scraping', 'docker_integration', 'github_actions_support', 'search_functionality']","['webscraping', 'dockerintegration', 'githubactionssupport', 'searchfunctionality']"
